batch_id,batch_size,best_cut,edge_device,edge_latency_ms,edge_fps,edge_ram_mb,edge_message_size_bytes,cloud_device,cloud_latency_ms,cloud_fps,cloud_ram_mb,cloud_message_size_bytes,e2e_latency_ms
0,32,3,2,876.802,0.0,1870.727,9332980,1,4542.437,0.0,1450.09,9332980,5931.746
1,32,3,2,876.802,0.0,1870.727,9332980,2,4423.545,0.0,1449.547,9332980,5852.887
2,32,3,1,839.87,30.927,2109.379,10025758,2,4163.536,7.55,1769.414,10025758,9091.594
3,32,3,2,843.277,28.049,2108.457,10025758,1,4101.033,7.584,1738.988,10025758,8976.704
4,32,3,1,869.662,26.005,2107.984,8585498,2,4050.984,7.727,1928.02,8585498,12032.104
5,32,3,2,1043.926,21.928,2107.031,8585498,1,3962.982,7.908,1896.746,8585498,11764.073
6,32,3,1,842.17,23.879,2107.824,8273097,1,4328.12,7.29,1935.871,8273097,15020.339
7,32,3,2,1180.551,18.1,2106.902,8273097,2,4294.564,7.242,1929.141,8273097,14585.699
8,32,3,1,905.783,21.922,2109.75,8479276,1,4360.404,7.185,1943.164,8479276,18077.176
9,32,3,2,797.722,23.002,2108.902,8479276,2,4405.4,7.095,1930.234,8479276,17323.33
10,32,3,1,849.374,23.368,2109.789,7887073,1,3817.611,8.199,1957.867,7887073,20555.498
11,32,3,2,777.139,24.901,2108.938,7887073,2,3674.632,8.434,1948.09,7887073,19810.131
12,32,3,1,786.762,23.573,2109.453,7675924,1,3806.849,8.27,2002.961,7675924,23002.654
13,32,3,2,929.781,20.627,2108.594,7675924,2,3737.264,8.417,1983.172,7675924,22214.912
14,32,3,1,849.141,21.834,2111.137,8287454,2,4197.303,7.543,1984.324,8287454,25786.163
15,32,3,2,731.679,24.231,2110.207,8287454,1,4112.244,7.526,1960.172,8287454,25003.865
16,32,3,1,872.925,23.405,2111.883,8506659,2,3896.666,8.076,1990.734,8506659,28405.438
